City_ID,City,Country,Date,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
52,Kruisfontein,ZA,2020-04-05 19:33:03,-34.0,24.73,63.37,71,100,12.8,overcast clouds,0.0,0.0
53,Coolum Beach,AU,2020-04-05 19:33:03,-26.53,153.1,66.0,89,34,5.21,scattered clouds,0.0,0.0
54,Busselton,AU,2020-04-05 19:32:04,-33.65,115.33,64.0,44,31,13.0,scattered clouds,0.0,0.0
55,Saqqez,IR,2020-04-05 19:33:03,36.25,46.27,46.76,35,44,3.67,scattered clouds,0.0,0.0
56,Hurghada,EG,2020-04-05 19:33:03,27.26,33.81,78.8,36,0,8.37,clear sky,0.0,0.0
57,Dingle,PH,2020-04-05 19:33:03,11.0,122.67,76.35,83,73,8.99,broken clouds,0.0,0.0
58,Mahebourg,MU,2020-04-05 19:33:03,-20.41,57.7,78.8,78,75,10.29,broken clouds,0.0,0.0
59,Kizukuri,JP,2020-04-05 19:33:03,40.81,140.39,34.0,92,96,11.99,snow,0.0,2.41
60,Kapaa,US,2020-04-05 19:32:07,22.08,-159.32,78.8,83,1,6.93,clear sky,0.0,0.0
61,Ola,RU,2020-04-05 19:33:04,59.58,151.28,15.13,95,100,5.93,light snow,0.0,0.2
62,Suluq,LY,2020-04-05 19:33:04,31.67,20.25,59.04,68,83,9.24,broken clouds,0.0,0.0
63,Nome,US,2020-04-05 19:32:13,64.5,-165.41,12.2,92,90,26.4,light snow,0.0,0.0
64,Lieto,FI,2020-04-05 19:33:04,60.51,22.46,37.0,69,98,4.7,overcast clouds,0.0,0.0
65,Sao Filipe,CV,2020-04-05 19:33:04,14.9,-24.5,73.35,76,0,12.24,clear sky,0.0,0.0
66,Kameshkovo,RU,2020-04-05 19:33:04,56.35,41.0,30.97,88,29,10.31,scattered clouds,0.0,0.0
67,San Policarpo,PH,2020-04-05 19:33:04,12.18,125.51,78.58,69,53,6.98,broken clouds,0.0,0.0
68,Kauhajoki,FI,2020-04-05 19:33:04,62.43,22.18,28.99,79,98,2.24,overcast clouds,0.0,0.0
69,Lebork,PL,2020-04-05 19:28:17,54.54,17.75,48.0,42,0,4.7,clear sky,0.0,0.0
70,East London,ZA,2020-04-05 19:33:05,-33.02,27.91,70.57,75,100,10.78,overcast clouds,0.0,0.0
71,Bako,ET,2020-04-05 19:33:05,5.78,36.57,68.23,44,93,8.28,overcast clouds,0.0,0.0
72,Arraial Do Cabo,BR,2020-04-05 19:33:05,-22.97,-42.03,78.8,65,75,6.93,broken clouds,0.0,0.0
73,Olafsvik,IS,2020-04-05 19:33:05,64.89,-23.71,30.76,97,100,57.29,snow,0.0,4.59
74,Piacabucu,BR,2020-04-05 19:33:05,-10.41,-36.43,81.59,83,5,8.99,clear sky,0.0,0.0
75,Narsaq,GL,2020-04-05 19:33:05,60.92,-46.05,28.4,25,27,17.22,scattered clouds,0.0,0.0
76,Carnarvon,AU,2020-04-05 19:32:13,-24.87,113.63,73.4,83,8,11.41,clear sky,0.0,0.0
77,Laguna,US,2020-04-05 19:33:05,38.42,-121.42,55.99,87,90,8.05,heavy intensity rain,0.0,0.0
78,Nizhniy Kuranakh,RU,2020-04-05 19:33:05,58.84,125.49,17.24,91,97,5.03,light snow,0.0,0.46
79,Sao Raimundo Das Mangabeiras,BR,2020-04-05 19:33:06,-7.02,-45.48,80.53,79,91,4.07,moderate rain,4.29,0.0
80,Lukovetskiy,RU,2020-04-05 19:33:06,64.3,41.92,26.6,79,100,6.71,overcast clouds,0.0,0.0
81,Nago,JP,2020-04-05 19:33:06,26.59,127.98,66.2,77,75,4.7,broken clouds,0.0,0.0
82,Norman Wells,CA,2020-04-05 19:33:06,65.28,-126.83,21.2,62,20,23.04,few clouds,0.0,0.0
