City_ID,City,Country,Date,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed
70,Concepcion Del Oro,MX,2020-04-04 19:00:39,24.63,-101.42,72.48,9,0,11.99
71,Cap Malheureux,MU,2020-04-04 18:56:46,-19.98,57.61,78.8,83,75,6.93
72,Port Pirie,AU,2020-04-04 19:00:40,-33.18,138.02,51.8,87,20,8.05
73,Kabalo,CD,2020-04-04 19:00:40,-6.05,26.92,72.52,77,21,3.53
74,Constitucion,CL,2020-04-04 18:56:18,-35.33,-72.42,66.92,54,11,12.8
75,San Patricio,MX,2020-04-04 18:50:44,19.22,-104.7,80.6,65,5,11.41
76,Cidreira,BR,2020-04-04 18:50:57,-30.18,-50.21,73.15,58,23,10.98
77,Khasan,RU,2020-04-04 19:00:40,42.43,130.64,37.02,69,52,30.74
78,Lompoc,US,2020-04-04 18:47:55,34.64,-120.46,63.0,71,9,6.93
79,Saint-Georges,GD,2020-04-04 18:48:09,12.06,-61.75,84.2,79,40,14.99
80,Laguna,US,2020-04-04 18:51:29,38.42,-121.42,55.99,87,90,8.05
81,Vitoria Do Mearim,BR,2020-04-04 19:00:41,-3.46,-44.87,83.34,87,87,3.06
82,Aksu,CN,2020-04-04 18:52:45,41.12,80.26,55.76,24,57,4.99
83,Vicuna,CL,2020-04-04 19:00:41,-30.03,-70.71,64.4,72,75,8.05
84,Luau,AO,2020-04-04 18:56:33,-10.71,22.22,66.76,67,65,1.28
85,Arcachon,FR,2020-04-04 19:00:41,44.59,-1.05,66.2,36,0,9.17
86,Ancud,CL,2020-04-04 18:51:12,-41.87,-73.82,53.6,76,40,4.7
87,Dharchula,IN,2020-04-04 19:00:41,29.85,80.53,52.88,28,35,8.08
88,Nikolskoye,RU,2020-04-04 18:50:51,59.7,30.79,33.01,87,26,4.47
89,New Norfolk,AU,2020-04-04 19:00:41,-42.78,147.06,44.6,65,46,10.29
90,Grand Gaube,MU,2020-04-04 19:00:41,-20.01,57.66,78.8,83,75,6.93
91,Kapaa,US,2020-04-04 18:50:57,22.08,-159.32,75.2,88,40,5.82
92,Bambanglipuro,ID,2020-04-04 19:00:42,-7.95,110.28,78.69,84,100,4.5
93,Tuktoyaktuk,CA,2020-04-04 19:00:42,69.45,-133.04,1.4,64,20,6.93
94,Sept-Iles,CA,2020-04-04 18:47:46,50.2,-66.38,33.8,86,90,8.05
95,Airai,TL,2020-04-04 18:50:42,-8.93,125.41,61.45,66,77,1.39
96,Enshi,CN,2020-04-04 19:00:42,30.3,109.48,50.36,66,96,1.34
97,Gushikawa,JP,2020-04-04 19:00:42,26.35,127.87,66.2,93,90,3.36
98,Cairns,AU,2020-04-04 18:52:32,-16.92,145.77,75.2,88,40,1.12
99,Oum Hadjer,TD,2020-04-04 19:00:43,13.3,19.7,91.65,15,83,4.36
100,Norman Wells,CA,2020-04-04 18:50:47,65.28,-126.83,12.2,72,90,8.05
101,Hirara,JP,2020-04-04 18:52:20,24.8,125.28,67.84,81,98,21.12
102,Kiama,AU,2020-04-04 18:51:35,-34.68,150.87,57.99,58,11,11.41
103,Lakatoro,VU,2020-04-04 19:00:43,-16.1,167.42,77.0,94,90,26.4
104,Dikson,RU,2020-04-04 18:51:15,73.51,80.55,0.54,94,28,7.67
105,Inongo,CD,2020-04-04 19:00:43,-1.95,18.27,77.95,67,49,2.26
106,Vila Franca Do Campo,PT,2020-04-04 18:51:16,37.72,-25.43,62.6,82,40,21.92
107,Lucapa,AO,2020-04-04 18:52:46,-8.42,20.74,68.04,72,74,2.13
108,Lagoa,PT,2020-04-04 18:50:54,39.05,-27.98,58.98,76,39,23.02
109,Butaritari,KI,2020-04-04 18:50:52,3.07,172.79,82.6,80,65,9.57
110,Lorengau,PG,2020-04-04 18:51:12,-2.02,147.27,81.32,79,69,4.81
111,Korla,CN,2020-04-04 18:51:04,41.76,86.15,53.71,27,50,3.56
112,Tokur,RU,2020-04-04 19:00:44,53.13,132.9,6.03,87,1,2.3
113,Komsomolskiy,UZ,2020-04-04 18:51:13,40.43,71.72,60.8,44,98,6.93
114,Goderich,CA,2020-04-04 18:50:59,43.75,-81.72,55.99,74,13,7.0
115,Cape Town,ZA,2020-04-04 19:00:44,-33.93,18.42,64.99,87,98,4.7
116,Bathsheba,BB,2020-04-04 18:50:45,13.22,-59.52,86.0,66,40,13.87
117,Gondanglegi,ID,2020-04-04 19:00:44,-7.75,112.01,75.94,89,100,1.63
118,Warrington,GB,2020-04-04 19:00:44,53.39,-2.58,55.99,58,99,13.87
119,Parrita,CR,2020-04-04 19:00:44,9.52,-84.32,89.6,45,16,12.75
120,Rocha,UY,2020-04-04 18:50:54,-34.48,-54.33,73.94,42,6,3.78
121,Kanniyakumari,IN,2020-04-04 19:00:05,8.08,77.57,83.77,70,41,3.94
122,Tasiilaq,GL,2020-04-04 19:00:45,65.61,-37.64,19.4,41,20,23.04
123,Okha,RU,2020-04-04 18:55:55,53.57,142.95,18.88,96,6,2.93
124,Yenagoa,NG,2020-04-04 18:52:46,4.92,6.26,79.0,87,100,7.34
125,Melur,IN,2020-04-04 19:00:45,10.05,78.33,82.4,61,20,5.82
126,Teguldet,RU,2020-04-04 18:52:52,57.31,88.17,28.94,96,0,4.27
127,Kodiak,US,2020-04-04 18:46:18,57.79,-152.41,50.0,25,90,11.41
